S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
0,Maruti Wagon R LXI CNG,Mumbai,2016,72000,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5.0,,1.75
1,Hyundai Creta 1.6 CRDi SX Option,Pune,2021,41000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,12.5
2,Honda Jazz V,Chennai,2017,46000,Petrol,Manual,First,18.2 kmpl,1199 CC,88.7 bhp,5.0,8.61 Lakh,4.5
3,Maruti Ertiga VDI,Chennai,2018,87000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,,6.0
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2019,40670,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,5.0,,17.74
5,Hyundai EON LPG Era Plus Option,Hyderabad,2018,75000,LPG,Manual,First,21.1 km/kg,814 CC,55.2 bhp,5.0,,2.35
6,Nissan Micra Diesel XV,Jaipur,2019,86999,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,,3.5
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2022,36000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,8.0,21 Lakh,17.5
8,Volkswagen Vento Diesel Comfortline,Pune,2019,64430,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,,5.2
9,Tata Indica Vista Quadrajet LS,Chennai,2018,65932,Diesel,Manual,Second,22.3 kmpl,1248 CC,74 bhp,5.0,,1.95
10,Maruti Ciaz Zeta,Kochi,2024,25692,Petrol,Manual,First,21.56 kmpl,1462 CC,103.25 bhp,5.0,10.65 Lakh,9.95
11,Honda City 1.5 V AT Sunroof,Kolkata,2018,60000,Petrol,Automatic,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,,4.49
12,Maruti Swift VDI BSIV,Jaipur,2021,64424,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,,5.6
13,Land Rover Range Rover 2.2L Pure,Delhi,2020,72000,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5.0,,27.0
14,Land Rover Freelander 2 TD4 SE,Pune,2018,85000,Diesel,Automatic,Second,0.0 kmpl,2179 CC,115 bhp,5.0,,17.5
15,Mitsubishi Pajero Sport 4X4,Delhi,2020,110000,Diesel,Manual,First,13.5 kmpl,2477 CC,175.56 bhp,7.0,32.01 Lakh,15.0
16,Honda Amaze S i-Dtech,Kochi,2022,58950,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,5.4
17,Maruti Swift DDiS VDI,Jaipur,2023,25000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5.0,,5.99
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2020,77469,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5.0,,6.34
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2020,78500,Diesel,Automatic,First,14.84 kmpl,2143 CC,167.62 bhp,5.0,,28.0
20,BMW 3 Series 320d,Kochi,2020,32982,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,47.87 Lakh,18.55
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2021,55392,Diesel,Manual,Second,23.65 kmpl,1248 CC,88.5 bhp,5.0,,8.25
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2021,55985,Petrol,Automatic,First,13.53 kmpl,1984 CC,177.01 bhp,5.0,,23.5
23,Hyundai i20 1.2 Magna,Kolkata,2016,45807,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,,1.87
24,Volkswagen Vento Petrol Highline AT,Kolkata,2016,33000,Petrol,Automatic,First,14.4 kmpl,1598 CC,103.6 bhp,5.0,,2.85
25,Honda City Corporate Edition,Mumbai,2018,51920,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,,4.25
26,Nissan Micra Diesel XV,Hyderabad,2018,54000,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,,4.25
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2019,54000,Petrol,Manual,Second,20.92 kmpl,998 CC,67.1 bhp,5.0,,2.75
28,Honda WRV i-VTEC VX,Kochi,2024,37430,Petrol,Manual,First,17.5 kmpl,1199 CC,88.7 bhp,5.0,10.57 Lakh,9.9
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2013,262000,Diesel,Manual,Third & above,12.8 kmpl,2494 CC,102 bhp,7.0,,4.0
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2019,62000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,7.75
31,Toyota Corolla Altis G,Delhi,2018,87615,Petrol,Manual,First,14.53 kmpl,1798 CC,138.1 bhp,5.0,,6.75
32,Mahindra Ssangyong Rexton RX7,Bangalore,2019,72000,Diesel,Automatic,Second,11.18 kmpl,2696 CC,184 bhp,7.0,,12.5
33,Audi A6 2.7 TDI,Kolkata,2016,35000,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5.0,,11.5
34,Volkswagen Vento 1.6 Highline,Coimbatore,2020,55431,Petrol,Manual,Second,16.09 kmpl,1598 CC,103.5 bhp,5.0,12.33 Lakh,6.98
35,Maruti Wagon R LXI BSIII,Jaipur,2015,83816,Petrol,Manual,Second,14.0 kmpl,1061 CC,64 bhp,5.0,,1.85
36,Maruti Vitara Brezza ZDi Plus,Kochi,2024,50075,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,11.12 Lakh,8.63
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2023,52000,Petrol,Manual,First,18.15 kmpl,1198 CC,82 bhp,5.0,,4.85
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2019,85000,Diesel,Automatic,First,11.74 kmpl,2987 CC,254.8 bhp,5.0,,28.0
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2019,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,5.0
40,Maruti Alto LXi,Delhi,2014,90000,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5.0,,1.25
41,Tata Nano LX SE,Kochi,2020,19698,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4.0,,1.53
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2023,22033,Diesel,Manual,First,25.32 kmpl,1198 CC,77 bhp,6.0,,5.58
43,Hyundai i20 Magna Optional 1.2,Kochi,2020,35487,Petrol,Manual,First,18.5 kmpl,1197 CC,82.9 bhp,5.0,,4.74
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2020,46374,Petrol,Automatic,First,14.62 kmpl,1999 CC,149.92 bhp,5.0,23.64 Lakh,8.85
45,Toyota Corolla Altis G AT,Mumbai,2022,52001,Petrol,Automatic,First,14.28 kmpl,1798 CC,138.03 bhp,5.0,,10.11
46,Hyundai Elantra CRDi,Ahmedabad,2014,58005,Diesel,Manual,Second,14.9 kmpl,1991 CC,112.2 bhp,5.0,,4.25
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2018,70704,Petrol,Manual,First,11.25 kmpl,2694 CC,163.7 bhp,7.0,18.64 Lakh,10.95
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2020,75000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5.0,,3.85
49,Mahindra Thar CRDe AC,Jaipur,2018,75800,Diesel,Manual,Second,16.55 kmpl,2498 CC,105 bhp,6.0,,5.5
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2021,13648,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,,21.43
51,Maruti Swift LDI,Delhi,2020,52000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,4.25
52,Maruti Swift Ldi BSIV,Kolkata,2020,53000,Diesel,Manual,First,17.8 kmpl,1248 CC,75 bhp,5.0,,3.3
53,Maruti Swift VDI,Delhi,2019,65650,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5.0,,3.85
54,Hyundai Grand i10 Sportz,Chennai,2021,54000,Petrol,Manual,Third & above,18.9 kmpl,1197 CC,82 bhp,5.0,,3.6
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2021,39000,Petrol,Manual,First,15.04 kmpl,1598 CC,103.2 bhp,5.0,,3.99
56,Renault KWID RXT,Kochi,2023,16542,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5.0,,3.3
57,Hyundai i10 Asta,Kolkata,2016,32000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.07
58,Nissan X-Trail SLX AT,Hyderabad,2016,121812,Diesel,Automatic,First,13.29 kmpl,1995 CC,147.6 bhp,5.0,,7.75
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2016,39300,Petrol,Manual,First,18.2 kmpl,998 CC,67.1 bhp,5.0,,2.25
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2023,22000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,8.0,19.34 Lakh,16.5
61,Ford Figo Diesel Titanium,Bangalore,2016,72000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,,2.75
